,Unnamed: 0,datetime,id,tweet,emoji mood,usernames,hyperlink
44,44,2021-04-25 02:40:29,1386148075434123264,yup,[],['@Tesmanian_com'],
45,45,2021-04-24 09:24:24,1385887339742998528,rt  docking confirmed  second time  dragon,[],"['@SpaceX:', '@space_station']",https://t.co/JLC9wOjRFT
46,46,2021-04-24 09:23:07,1385887015774867457,lies beautiful,[],['@KuroiKumanoashi'],
47,47,2021-04-24 09:03:34,1385882094296092672,,[],[],https://t.co/l6Bc0wkWol
48,48,2021-04-24 08:55:19,1385880018417557506,define  beauty,[],[],
49,49,2021-04-24 08:54:25,1385879790381641728,future hodl,[],[],
50,50,2021-04-24 08:53:28,1385879551008559109,rt  we need big permanently occupied base moon build city mars become spacefaring c,[],['@RealLifeStarman:'],
51,51,2021-04-23 14:38:12,1385603921121533954,absolutely,[],"['@OwenSparks_', '@PPathole']",
52,52,2021-04-23 14:23:41,1385600268620939265,essence philosophy,[],['@PPathole'],
53,53,2021-04-23 14:18:06,1385598863399129090,important,[],['@SciGuySpace'],
54,54,2021-04-23 14:06:58,1385596061922779140,yup,[],['@lexfridman'],
55,55,2021-04-23 11:28:20,1385556138561875970,rt  dragon separated falcon 9s second stage way  autonomous docking tomorrow 510,[],"['@SpaceX:', '@space_station!']",
56,56,2021-04-23 09:47:18,1385530714662133763,2 mins launch,[],[],https://t.co/q9nXKRrXpw
57,57,2021-04-23 08:13:41,1385507154531074048,astronauts preparing launch,[],['@Space_Station'],https://t.co/WBkaDZexEc
58,58,2021-04-22 22:50:22,1385365390465937413,yeah,[],['@JiriThunderDome'],
59,59,2021-04-22 22:25:32,1385359141053546496,haha true,[],['@ICannot_Enough'],
60,60,2021-04-22 21:14:22,1385341229706190854,rt  elon musk peter diamandis live 100m xprize carbon removal,[],['@xprize:'],https://t.co/M2ruxS0Zxt
61,61,2021-04-22 20:57:44,1385337043618836480,happy earth day,"['globe showing Asia-Australia', 'globe showing Europe-Africa', 'globe showing Americas']",[],
62,62,2021-04-22 20:52:30,1385335728801001472,haha,[],['@hnshah'],
63,63,2021-04-22 20:50:53,1385335321370431488,,['rolling on the floor laughing'],['@jhall'],
64,64,2021-04-22 20:21:12,1385327849297612802,rt  systems weather looking good falcon 9s launch dragon four astronauts board webcast go live to,[],['@SpaceX:'],
65,65,2021-04-22 20:20:50,1385327759665270788,im staying friends place florida 85 powered tesla solar roof  powerwall when,[],['@AstroJordy'],https://t.co/5qtJec95aY
66,66,2021-04-22 12:31:35,1385209666909659140,seem little weird,[],['@28delayslater'],
67,67,2021-04-22 06:05:53,1385112605014908933,,['rolling on the floor laughing'],"['@OwenSparks_', '@AstroJordy', '@neuralink']",
68,68,2021-04-22 06:02:03,1385111636810240002,tesla owners conspiracy theorists would fair call adver,[],"['@JohnnaCrider1', '@WholeMarsBlog']",https://t.co/GadN1Gg1un
69,69,2021-04-22 05:49:17,1385108424761872387,tesla solar  powerwall battery enables consumers utility,[],[],
70,70,2021-04-22 05:47:06,1385107878055317509,true,[],['@jack'],
71,71,2021-04-22 05:39:40,1385106006141587459,important people dont know this wind also super cheap especially paired batteries,[],['@ValaAfshar'],
72,72,2021-04-22 05:38:03,1385105599608672257,newest units probably much 10kw continuous amp double peak power 30c ambient temp,[],['@annerajb'],https://t.co/2iI89NVjiB
73,73,2021-04-22 05:14:54,1385099771220688906,powerwall 2 peak amp steady power capability better advertised now lots operational data,[],[],https://t.co/qbdztDgIAf
74,74,2021-04-22 01:51:09,1385048499415183360,solar power feed exclusively powerwall powerwall interface utility meter amp house main br,[],[],https://t.co/0A7Ygu0dV9
75,75,2021-04-22 01:27:43,1385042598692147204,starting next week tesla solar panels amp solar roof sold integrated product with tesla powerwall battery,[],[],
76,76,2021-04-21 23:23:05,1385011236270526464,buy powerwall utility permission required flowing electricity back grid usuall,[],['@wintonARK'],https://t.co/c9c9v5gY0H
77,77,2021-04-21 15:30:27,1384892295137333252,sandy munro knows hes talking,[],['@TeslaNY'],
78,78,2021-04-21 15:24:07,1384890700085481473,rt  launch update    targeting friday april 23 549 am et launch crew2 miss,['rocket'],"['@Commercial_Crew:', '@NASA', '@SpaceX']",
79,79,2021-04-21 04:00:41,1384718706014441475,cgi irl,[],['@teslaownersSV'],
80,80,2021-04-21 03:51:12,1384716322756386819,could get job internet company werent many back then,[],"['@PPathole', '@Tesla', '@SpaceX']",
81,81,2021-04-20 19:32:21,1384590783504818178,haha true,[],"['@Liv_Boeree', '@TheBabylonBee']",
82,82,2021-04-20 19:28:16,1384589753236922374,,[],['@JohnnaCrider1'],
83,83,2021-04-20 19:27:43,1384589614447423493,new fsd rendering approach coming better represents nn probability vector space,[],['@kimpaquette'],
84,84,2021-04-20 18:49:56,1384580105649885188,nhtsa great,[],['@kimpaquette'],
85,85,2021-04-20 18:47:01,1384579374607831042,hell coincidence haha,[],"['@RenataKonkoly', '@GerberKawasaki']",
86,86,2021-04-20 18:37:14,1384576909724459009,,['rolling on the floor laughing'],['@GerberKawasaki'],
87,87,2021-04-20 16:51:05,1384550197410164738,rt  falcon 9 dragon looking good flight crew2 astronauts teams keeping eye launch site downrange wea,[],['@SpaceX:'],
88,88,2021-04-20 03:20:24,1384346182399401991,exactly,[],['@WholeMarsBlog'],
89,89,2021-04-20 03:19:31,1384345960495468548,awesome,[],['@NASA'],
90,90,2021-04-19 21:14:52,1384254194975010826,research private individual better professionals  data logs recovered,[],"['@Amart15416132', '@WSJ', '@WSJ!']",https://t.co/AtLNPtLDLn
91,91,2021-04-19 02:10:00,1383966077344894979,support humanitys future space super appreciated lets mak,[],"['@teslaownersSV', '@SpaceX', '@NASA', '@considercosmos']",https://t.co/7RzwJJOY9C
92,92,2021-04-18 21:00:43,1383888245902118918,,['rolling on the floor laughing'],['@flcnhvy'],
93,93,2021-04-18 20:41:18,1383883358057373698,rt  spacex  completed full rehearsal launch day activities four crew2 astronauts,[],"['@SpaceX:', '@NASA']",https://t.co/u0hDCTx3Zp
94,94,2021-04-17 22:45:36,1383552252871200770,passive autopilot sometimes called active safety comes standard teslas,[],['@WholeMarsBlog'],
95,95,2021-04-17 22:39:39,1383550753956982787,essentially passive autopilot car intervenes crash probability high cuts crashes in,[],['@WholeMarsBlog'],https://t.co/PYq10ndNat
96,96,2021-04-17 22:32:03,1383548841438236674,tesla autopilot engaged approaching 10 times lower chance accident average vehicle,[],[],https://t.co/6lGy52wVhC
97,97,2021-04-17 05:46:56,1383295895043600384,dragon spacecraft amp falcon 9 rocket,[],[],https://t.co/A6fsNlsN9z
98,98,2021-04-17 04:51:09,1383281856984936450,great progress tesla team,[],['@WhatsupFranks'],
99,99,2021-04-17 04:46:34,1383280704042127363,make life multiplanetary may come day plants amp animals die earth still alive mars,[],[],
